employeeId;firstName;lastName;startDate;localization;birthDate
SW0011;Madeleine;ROBIN;2017-10-02;Montpellier;1969-12-10
SW0012;Yvonne;MARCHAND;2017-10-02;Montpellier;1982-07-27
SW0013;Julien;VINCENT;2017-11-02;Montpellier;1961-06-21
SW0016;Eric;ANDRE;2017-11-02;Montpellier;1960-02-11
SW0021;Catherine;GARNIER;2017-11-02;Montpellier;1968-09-29
SW0023;Hélène;NICOLAS;2017-11-02;Montpellier;1975-12-27
SW0026;Georges;FOURNIER;2017-11-02;Montpellier;1994-12-07
SW0031;Monique;BOYER;2017-12-02;Montpellier;1978-06-13
SW0032;Suzanne;MORIN;2017-12-02;Montpellier;1982-04-01
SW0037;Bernard;LAURENT;2017-12-02;Montpellier;1997-08-23
SW0041;Louise;GAUTIER;2018-01-02;Région;1980-09-27
SW0044;René;RICHARD;2018-01-02;Montpellier;1981-04-10
SW0047;Christiane;MASSON;2018-01-02;Montpellier;1970-05-04
SW0051;Joseph;ROUSSEAU;2018-01-02;Région;1993-11-28
SW0054;Françoise;GUERIN;2018-01-02;Région;1996-12-17
SW0056;Denise;MATHIEU;2018-01-02;Montpellier;1984-04-18
SW0057;Nicolas;GIRARD;2018-01-02;Région;1999-01-19
SW0058;Jeanne;BLANC;2018-01-02;Région;1990-04-17
SW0062;Nicole;CLEMENT;2018-01-02;Région;1969-03-03
SW0065;Henri;MOREL;2018-02-02;Montpellier;1982-12-21
SW0066;Anne;GAUTHIER;2018-02-02;Montpellier;1967-12-25
SW0067;André;PETIT;2018-02-02;Paris;1997-11-14
SW0070;Marguerite;ROUSSEL;2018-02-02;Montpellier;1999-07-12
SW0071;Patrick;DUPONT;2018-02-02;Montpellier;1993-03-19
SW0076;Philippe;ROBERT;2018-02-02;Paris;1977-10-09
SW0079;Isabelle;FRANCOIS;2019-09-02;Montpellier;1967-10-08
SW0080;Christine;HENRY;2019-09-02;Montpellier;1969-11-09
SW0081;Maurice;MULLER;2019-09-02;Paris;1971-06-04
SW0082;Sophie;DENIS;2019-09-02;Montpellier;1984-08-19
SW0087;Laurent;LEFEVRE;2019-09-02;Paris;1983-06-02
SW0088;Martine;PERRIN;2019-09-02;Montpellier;1997-10-30
SW0089;Stéphanie;MARIE;2019-09-02;Région;1984-05-24
SW0092;Jacques;MOREAU;2019-09-02;Montpellier;1975-08-22
SW0097;Céline;LEMAIRE;2019-09-02;Montpellier;1963-07-02
SW0101;Renée;MEUNIER;2019-09-02;Montpellier;1964-04-08
SW0106;Marcel;SIMON;2019-09-02;Paris;1968-05-03
SW0107;Sandrine;DUMONT;2019-09-02;Montpellier;1973-07-31
SW0111;Gérard;LAMBERT;2019-09-02;Montpellier;1994-06-18
SW0116;Louis;DURAND;2019-09-02;Montpellier;1967-08-31
SW0117;Christophe;FONTAINE;2019-09-02;Région;1968-07-25
SW0122;Valérie;DUVAL;2019-09-02;Région;1993-04-13
SW0125;Marie;MERCIER;2019-10-02;Montpellier;1969-09-24
SW0130;Frédéric;FAURE;2019-10-02;Paris;1999-05-18
SW0135;Jacqueline;LEGRAND;2019-10-02;Montpellier;1968-09-28
SW0140;Christian;BERTRAND;2019-10-02;Montpellier;1972-03-10
SW0143;Daniel;MICHEL;2019-10-02;Paris;1962-03-18
SW0144;Nathalie;CHEVALIER;2019-11-02;Montpellier;1979-06-17
SW0147;Paul;ROUX;2019-11-02;Région;1998-07-01
SW0148;Robert;LEROY;2019-11-02;Région;1967-03-05
SW0152;Chantal;MEYER;2019-11-02;Montpellier;1999-11-07
SW0154;Jean;MARTIN;2019-12-02;Région;1961-02-09
SW0157;Sylvie;GARCIA;2019-12-02;Montpellier;1992-06-25
SW0160;Alain;DUBOIS;2019-12-02;Montpellier;1970-07-20
SW0162;Roger;LEFEBVRE;2020-01-02;Montpellier;1967-06-20
SW0163;Pierre;BERNARD;2020-01-02;Montpellier;1984-06-23
SW0168;Michel;THOMAS;2020-01-02;Montpellier;1978-07-30
SW0169;Véronique;NOEL;2020-01-02;Région;1960-09-10
SW0171;François;BONNET;2020-01-02;Région;1961-02-25
SW0172;Marcelle;DUFOUR;2020-01-02;Montpellier;1968-01-25
SW0173;Claude;DAVID;2020-01-02;Montpellier;1973-11-18
